UserId,predictions
u'10006,1
u'10017,1
u'1002,0
u'10021,1
u'10022,0
u'10026,1
u'10027,1
u'10029,0
u'10033,0
u'10035,1
u'10036,1
u'1004,1
u'10040,0
u'10046,0
u'10049,1
u'10050,1
u'10055,0
u'10056,0
u'10063,0
u'10065,1
u'10078,0
u'10086,0
u'10090,1
u'10093,0
u'10094,1
u'10099,1
u'10100,0
u'10103,1
u'10106,0
u'10114,0
u'10119,1
u'10121,0
u'10122,1
u'10124,0
u'10138,1
u'10139,1
u'1014,0
u'10142,0
u'10146,0
u'10154,1
u'10164,1
u'10165,0
u'10173,1
u'10174,1
u'10180,0
u'10183,0
u'1019,0
u'10193,1
u'10194,0
u'10206,0
u'10207,0
u'10213,1
u'10217,1
u'10219,1
u'1022,1
u'10222,1
u'1023,0
u'10236,0
u'10239,0
u'10240,1
u'10241,1
u'10244,0
u'10255,0
u'10263,0
u'10269,1
u'10272,1
u'10285,0
u'10290,0
u'10291,1
u'10300,0
u'10306,1
u'10308,1
u'10309,0
u'1031,0
u'1032,0
u'10320,0
u'10325,0
u'1033,0
u'10330,1
u'10333,1
u'10339,1
u'1034,1
u'1035,1
u'10352,1
u'1036,0
u'10360,0
u'10366,0
u'10375,0
u'1039,0
u'10399,0
u'1040,1
u'10400,1
u'10406,1
u'10407,1
u'10408,1
u'1041,1
u'10418,1
u'1042,1
u'10420,1
u'10425,0
u'10431,1
u'10446,0
u'10455,1
u'1046,0
u'10464,0
u'10475,0
u'10485,0
u'10513,0
u'10514,0
u'10525,1
u'10528,1
u'10531,0
u'10537,0
u'10539,1
u'1054,1
u'10541,1
u'10563,0
u'10566,0
u'10567,1
u'10571,0
u'10572,0
u'10573,1
u'10575,1
u'10580,0
u'10584,0
u'10586,0
u'10591,1
u'10592,0
u'10594,1
u'10596,1
u'10599,1
u'10603,1
u'10605,1
u'10607,1
u'10611,1
u'10619,1
u'10631,1
u'10633,0
u'10644,0
u'1065,0
u'10659,1
u'10661,0
u'10672,1
u'10673,0
u'10674,0
u'10675,1
u'10677,1
u'10679,1
u'10685,0
u'10686,1
u'10694,0
u'10698,1
u'10699,1
u'107,0
u'10701,0
u'10707,0
u'10709,1
u'10714,0
u'10721,1
u'1073,1
u'10734,0
u'10736,1
u'10742,0
u'10743,0
u'10747,0
u'10756,0
u'10760,0
u'10767,1
u'10773,0
u'10784,1
u'10785,1
u'1079,0
u'10792,1
u'10802,0
u'10814,0
u'10816,1
u'1082,0
u'10824,1
u'10826,1
u'10830,0
u'10832,0
u'10836,0
u'10841,1
u'10844,1
u'10849,0
u'10853,0
u'10856,1
u'10868,1
u'10870,0
u'10875,1
u'1088,1
u'10882,1
u'10886,1
u'10888,0
u'1089,1
u'10890,1
u'10894,0
u'10895,0
u'10902,0
u'1091,0
u'10913,1
u'10918,1
u'10926,0
u'10928,1
u'10931,1
u'10937,0
u'10943,1
u'10946,1
u'10948,0
u'10949,1
u'10950,0
u'10951,0
u'10956,0
u'10960,1
u'10971,1
u'10979,1
u'1098,0
u'10980,1
u'10991,0
u'10993,0
u'10994,1
u'10998,0
u'110,1
u'11007,0
u'11011,1
u'11015,1
u'11036,1
u'11038,0
u'11046,0
u'11048,0
u'11051,0
u'11053,1
u'11062,1
u'11068,0
u'11077,1
u'11078,0
u'11079,0
u'11082,0
u'11090,1
u'11098,1
u'11099,1
u'111,1
u'11100,1
u'11114,0
u'11116,0
u'11119,1
u'11125,0
u'11127,1
u'11129,1
u'11130,1
u'11134,0
u'11142,0
u'11143,0
u'11146,1
u'11148,1
u'11151,0
u'11153,1
u'11154,1
u'11169,1
u'11182,1
u'1119,1
u'11190,1
u'11193,0
u'11200,1
u'11201,0
u'11202,1
u'11213,1
u'1122,0
u'1124,1
u'11249,1
u'11251,0
u'11258,0
u'11266,1
u'1127,0
u'11271,1
u'11273,0
u'11276,1
u'11281,0
u'11289,0
u'11294,0
u'11297,1
u'11307,1
u'11308,1
u'11311,0
u'11314,1
u'11318,1
u'11322,1
u'11336,0
u'11338,0
u'11344,0
u'11349,1
u'11360,0
u'11363,1
u'11366,1
u'11373,0
u'11374,1
u'11376,1
u'11381,1
u'11386,0
u'11387,1
u'11388,1
u'11393,1
u'1140,1
u'11401,1
u'11402,1
u'11405,1
u'11410,1
u'11418,0
u'11419,1
u'1142,0
u'11421,0
u'11422,1
u'11426,1
u'11430,1
u'11436,0
u'11437,1
u'11454,0
u'11456,0
u'11459,1
u'11462,0
u'11465,1
u'11467,0
u'11469,1
u'11472,1
u'11483,0
u'11485,0
u'11494,1
